episode,predator_reward,prey_reward,capture_rate,predator_elo,prey_elo,policy_loss,value_loss,entropy
0,0.47,-0.47,1.0,1016.0,984.0,0.0,0.0,0.0
1,1.0,-1.0,1.0,1030.53,969.47,0.0,0.0,0.0
2,0.62,-0.62,1.0,1043.75,956.25,0.0,0.0,0.0
3,0.99,-0.99,1.0,1055.8,944.2,0.0,0.0,0.0
4,-0.82,0.82,1.0,1066.83,933.17,0.0,0.0,0.0
5,0.51,-0.51,1.0,1076.96,923.04,0.0,0.0,0.0
6,-0.01,0.01,1.0,1086.3,913.7,0.0,0.0,0.0
7,0.99,-0.99,1.0,1094.95,905.05,0.0,0.0,0.0
8,-2.0,2.0,0.8889,1086.98,913.02,0.0,0.0,0.0
9,0.1,-0.1,0.9,1095.58,904.42,0.0,0.0,0.0
10,0.94,-0.94,0.9091,1103.57,896.43,0.0,0.0,0.0
11,-0.94,0.94,0.9167,1111.02,888.98,0.0,0.0,0.0
12,-0.38,0.38,0.9231,1117.99,882.01,0.0,0.0,0.0
13,-2.0,2.0,0.8571,1108.54,891.46,0.0,0.0,0.0
14,-0.08,0.08,0.8667,1115.66,884.34,0.0,0.0,0.0
15,-0.17,0.17,0.875,1122.35,877.65,0.0,0.0,0.0
16,-2.0,2.0,0.8235,1112.64,887.36,0.0,0.0,0.0
17,0.28,-0.28,0.8333,1119.51,880.49,0.0,0.0,0.0
18,0.5,-0.5,0.8421,1125.96,874.04,0.0,0.0,0.0
19,-0.43,0.43,0.85,1132.04,867.96,0.0,0.0,0.0
20,-0.55,0.55,0.85,1137.78,862.22,-0.003588,0.058632,1.605878
21,-2.0,2.0,0.8,1127.22,872.78,-0.003588,0.058632,1.605878
22,-2.0,2.0,0.75,1117.23,882.77,-0.003588,0.058632,1.605878
23,0.73,-0.73,0.75,1123.82,876.18,-0.003588,0.058632,1.605878
24,0.23,-0.23,0.75,1130.02,869.98,-0.003588,0.058632,1.605878
25,0.96,-0.96,0.75,1135.87,864.13,-0.003588,0.058632,1.605878
26,-0.86,0.86,0.75,1141.41,858.59,-0.003588,0.058632,1.605878
27,-2.0,2.0,0.7,1130.66,869.34,-0.003588,0.058632,1.605878
28,-0.08,0.08,0.75,1136.48,863.52,-0.003588,0.058632,1.605878
29,0.98,-0.98,0.75,1141.98,858.02,-0.003588,0.058632,1.605878
30,0.83,-0.83,0.75,1147.2,852.8,-0.003588,0.058632,1.605878
31,-2.0,2.0,0.7,1136.17,863.83,-0.003588,0.058632,1.605878
32,-2.0,2.0,0.65,1125.69,874.31,-0.003588,0.058632,1.605878
33,0.11,-0.11,0.7,1131.78,868.22,-0.003588,0.058632,1.605878
34,-0.76,0.76,0.7,1137.54,862.46,-0.003588,0.058632,1.605878
35,0.02,-0.02,0.7,1142.99,857.01,-0.003588,0.058632,1.605878
36,0.95,-0.95,0.75,1148.16,851.84,-0.003588,0.058632,1.605878
37,-2.0,2.0,0.7,1137.08,862.92,-0.00349,0.048413,1.604416
38,1.0,-1.0,0.7,1142.55,857.45,-0.00349,0.048413,1.604416
39,0.15,-0.15,0.7,1147.75,852.25,-0.00349,0.048413,1.604416
40,-2.0,2.0,0.65,1136.69,863.31,-0.00349,0.048413,1.604416
41,-2.0,2.0,0.65,1126.18,873.82,-0.00349,0.048413,1.604416
42,0.51,-0.51,0.7,1132.25,867.75,-0.00349,0.048413,1.604416
43,-2.0,2.0,0.65,1121.98,878.02,-0.00349,0.048413,1.604416
44,-2.0,2.0,0.6,1112.29,887.71,-0.00349,0.048413,1.604416
45,-0.2,0.2,0.6,1119.18,880.82,-0.00349,0.048413,1.604416
46,0.97,-0.97,0.6,1125.65,874.35,-0.00349,0.048413,1.604416
47,-2.0,2.0,0.6,1115.75,884.25,-0.00349,0.048413,1.604416
48,-0.18,0.18,0.6,1122.43,877.57,-0.00349,0.048413,1.604416
49,-2.0,2.0,0.55,1112.71,887.29,-0.00349,0.048413,1.604416
50,0.95,-0.95,0.55,1119.58,880.42,-0.00349,0.048413,1.604416
51,0.81,-0.81,0.6,1126.03,873.97,-0.00349,0.048413,1.604416
52,0.93,-0.93,0.65,1132.1,867.9,-0.00349,0.048413,1.604416
53,-0.59,0.59,0.65,1137.84,862.16,-0.00349,0.048413,1.604416
54,-0.14,0.14,0.65,1143.27,856.73,-0.00349,0.048413,1.604416
55,-0.35,0.35,0.65,1148.43,851.57,-0.00349,0.048413,1.604416
56,0.73,-0.73,0.65,1153.34,846.66,-0.005918,0.054178,1.598684
57,0.99,-0.99,0.7,1158.01,841.99,-0.005918,0.054178,1.598684
58,-0.99,0.99,0.7,1162.48,837.52,-0.005918,0.054178,1.598684
59,-2.0,2.0,0.65,1150.75,849.25,-0.005918,0.054178,1.598684
60,0.46,-0.46,0.7,1155.55,844.45,-0.005918,0.054178,1.598684
61,-0.97,0.97,0.75,1160.12,839.88,-0.005918,0.054178,1.598684
62,-2.0,2.0,0.7,1148.49,851.51,-0.005918,0.054178,1.598684
63,0.42,-0.42,0.75,1153.4,846.6,-0.005918,0.054178,1.598684
64,-0.25,0.25,0.8,1158.07,841.93,-0.005918,0.054178,1.598684
65,-2.0,2.0,0.75,1146.53,853.47,-0.005918,0.054178,1.598684
66,0.04,-0.04,0.75,1151.53,848.47,-0.005918,0.054178,1.598684
67,0.39,-0.39,0.8,1156.29,843.71,-0.005918,0.054178,1.598684
68,0.95,-0.95,0.8,1160.83,839.17,-0.005918,0.054178,1.598684
69,0.75,-0.75,0.85,1165.17,834.83,-0.005918,0.054178,1.598684
70,-0.09,0.09,0.85,1169.33,830.67,-0.005918,0.054178,1.598684
71,-2.0,2.0,0.8,1157.32,842.68,-0.005918,0.054178,1.598684
72,0.9,-0.9,0.8,1161.81,838.19,-0.005918,0.054178,1.598684
73,-0.6,0.6,0.8,1166.11,833.89,-0.005918,0.054178,1.598684
74,0.11,-0.11,0.8,1170.23,829.77,-0.005918,0.054178,1.598684
75,-2.0,2.0,0.75,1158.18,841.82,-0.006188,0.07573,1.574967
76,-0.46,0.46,0.75,1162.64,837.36,-0.006188,0.07573,1.574967
77,0.72,-0.72,0.75,1166.9,833.1,-0.006188,0.07573,1.574967
78,0.59,-0.59,0.75,1170.99,829.01,-0.006188,0.07573,1.574967
79,0.94,-0.94,0.8,1174.91,825.09,-0.006188,0.07573,1.574967
80,0.5,-0.5,0.8,1178.68,821.32,-0.006188,0.07573,1.574967
81,0.52,-0.52,0.8,1182.31,817.69,-0.006188,0.07573,1.574967
82,0.61,-0.61,0.85,1185.8,814.2,-0.006188,0.07573,1.574967
83,0.44,-0.44,0.85,1189.17,810.83,-0.006188,0.07573,1.574967
84,0.08,-0.08,0.85,1192.43,807.57,-0.006188,0.07573,1.574967
