episode,predator_reward,prey_reward,capture_rate,predator_elo,prey_elo,policy_loss,value_loss,entropy,om_loss
0,-2.0,2.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0
1,-2.0,2.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0
2,0.97,-0.97,0.3333,1016.0,984.0,0.0,0.0,0.0,0.0
3,-2.0,2.0,0.25,1014.53,985.47,0.0,0.0,0.0,0.0
4,0.36,-0.36,0.4,1029.2,970.8,0.0,0.0,0.0,0.0
5,-2.0,2.0,0.3333,1026.53,973.47,0.0,0.0,0.0,0.0
6,0.15,-0.15,0.4286,1040.11,959.89,0.0,0.0,0.0,0.0
7,-0.85,0.85,0.5,1052.48,947.52,0.0,0.0,0.0,0.0
8,-0.52,0.52,0.5556,1063.79,936.21,0.0,0.0,0.0,0.0
9,0.13,-0.13,0.6,1074.16,925.84,0.0,0.0,0.0,0.0
10,0.85,-0.85,0.6364,1083.72,916.28,0.0,0.0,0.0,0.0
11,-2.0,2.0,0.5833,1076.55,923.45,0.0,0.0,0.0,0.0
12,-0.33,0.33,0.6154,1085.93,914.07,0.0,0.0,0.0,0.0
13,0.18,-0.18,0.6429,1094.6,905.4,0.0,0.0,0.0,0.0
14,0.87,-0.87,0.6667,1102.66,897.34,0.0,0.0,0.0,0.0
15,0.51,-0.51,0.6875,1110.17,889.83,0.0,0.0,0.0,0.0
16,-2.0,2.0,0.6471,1101.19,898.81,-0.002818,0.054131,1.606492,1.542768
17,0.57,-0.57,0.6667,1108.8,891.2,-0.002818,0.054131,1.606492,1.542768
18,0.39,-0.39,0.6842,1115.91,884.09,-0.002818,0.054131,1.606492,1.542768
19,0.8,-0.8,0.7,1122.58,877.42,-0.002818,0.054131,1.606492,1.542768
20,0.58,-0.58,0.75,1128.86,871.14,-0.002818,0.054131,1.606492,1.542768
21,0.44,-0.44,0.8,1134.77,865.23,-0.002818,0.054131,1.606492,1.542768
22,0.65,-0.65,0.8,1140.37,859.63,-0.002818,0.054131,1.606492,1.542768
23,0.84,-0.84,0.85,1145.67,854.33,-0.002818,0.054131,1.606492,1.542768
24,0.64,-0.64,0.85,1150.71,849.29,-0.002818,0.054131,1.606492,1.542768
25,0.3,-0.3,0.9,1155.51,844.49,-0.002818,0.054131,1.606492,1.542768
26,-2.0,2.0,0.85,1144.09,855.91,-0.002818,0.054131,1.606492,1.542768
27,0.99,-0.99,0.85,1149.2,850.8,-0.002818,0.054131,1.606492,1.542768
28,0.14,-0.14,0.85,1154.07,845.93,-0.002818,0.054131,1.606492,1.542768
29,0.98,-0.98,0.85,1158.71,841.29,-0.002818,0.054131,1.606492,1.542768
30,-0.9,0.9,0.85,1163.15,836.85,-0.002818,0.054131,1.606492,1.542768
31,-2.0,2.0,0.85,1151.39,848.61,-0.002818,0.054131,1.606492,1.542768
32,-0.37,0.37,0.85,1156.16,843.84,-0.002818,0.054131,1.606492,1.542768
33,-2.0,2.0,0.8,1144.7,855.3,-0.002818,0.054131,1.606492,1.542768
34,0.95,-0.95,0.8,1149.79,850.21,-0.002818,0.054131,1.606492,1.542768
35,-2.0,2.0,0.75,1138.63,861.37,-0.002818,0.054131,1.606492,1.542768
36,-0.9,0.9,0.8,1144.03,855.97,-0.002818,0.054131,1.606492,1.542768
37,-2.0,2.0,0.75,1133.15,866.85,-0.002818,0.054131,1.606492,1.542768
